awayteam,hometeam,group,awayseed,homeseed,winner,winning_prob,status
Alabama,Duke,East,2,1,Duke,0.875228,correct
Tennessee,Houston,Midwest,2,1,Houston,0.55,correct
Michigan State,Auburn,South,2,1,Auburn,0.891678,correct
Texas Tech,Florida,West,3,1,Texas Tech,0.55,wrong
